source_id,market_scope,source_name,operator,source_url,trust_tier,default_output,promotable_status,best_for,refresh_cadence,access_boundary,acceptance_rule,downgrade_rule,status,last_reviewed,notes
cn_cninfo_announcements,cn,巨潮资讯公告,深圳证券信息有限公司,https://www.cninfo.com.cn/,S,enterprise_relation_source_results,verified_source,公告和年报原文;客户供应商;交易对手证据,quarterly,公开网页和 PDF；登录态不写入仓库,official_source_directly_citable,never_downgrade,active,2026-06-25,沿用企业关系可信源分级; signal_type=announcement; half_life=720h; family=announcement; collection=reference_metadata
cn_exchange_disclosure,cn,A 股交易所公告,沪深北交易所,pending_verification,A,enterprise_relation_source_results,verified_source,公告原文;监管问询;交易对手证据,quarterly,公开网页；结构化入口需另行探测,official_source_directly_citable,never_downgrade,active,2026-06-29,"具体入口由来源工作包细分; [ABSTRACT] umbrella source, use cn_sse/cn_szse/cn_bse concrete entries; activated_from_reserved; signal_type=reference; half_life=168h; family=research; collection=reference_metadata"
hk_exchange_disclosure,hk,港交所披露易,香港交易及结算所有限公司,https://www.hkexnews.hk/,S,market_source_result,verified_source,港股公告;财报;公司行动;上市文件,quarterly,公开网页；批量下载需遵守网站规则,official_source_directly_citable,never_downgrade,active,2026-06-29,预留给 HK 目录; activated_from_reserved; signal_type=reference; half_life=168h; family=research; collection=reference_metadata
us_sec_edgar,us,SEC EDGAR,US Securities and Exchange Commission,https://www.sec.gov/edgar,S,market_source_result,verified_source,美股申报文件;CIK;财报;重大事件,quarterly,公开入口；批量访问需设置合规 User-Agent,official_source_directly_citable,never_downgrade,active,2026-06-29,预留给 US 目录; activated_from_reserved; signal_type=reference; half_life=168h; family=research; collection=reference_metadata
crypto_public_market_data,crypto,Crypto 公开行情与项目披露,exchange_or_project_official,pending_verification,A,market_source_result,verified_source,币种对象;公开行情;项目公告;风险事件,monthly,不得保存交易所 API Key；公开接口限频需记录,structured_source_with_verification,stale_data_90d,active,2026-06-29,预留给 Crypto 目录; activated_from_reserved; signal_type=market_data; half_life=168h; family=research; collection=reference_metadata
prediction_market_public_pages,prediction_markets,预测市场公开合约页,platform_public_pages,pending_verification,B,market_source_result,candidate_hint,事件合约;概率;流动性;结算规则,monthly,不得保存账户、Cookie、钱包或支付信息,cross_validation_required,three_consecutive_failures,active,2026-06-29,预留给 PredictionMarkets 目录; activated_from_reserved; signal_type=reference; half_life=168h; family=research; collection=reference_metadata
general_web_search,global,通用网页搜索,search_or_scrape_provider,pending_verification,C,event_candidates,candidate_only,早期线索;反向检索;补证据入口,monthly,不保存账号或 Cookie；结果必须回到原文,reference_only_no_promotion,url_unreachable_30d,reserved,2026-06-25,[URL_CHECK_FAILED] 默认低置信; [NO_URL_AVAILABLE] source_url is pending_verification
cn_sse_disclosure,cn,上交所上市公司公告,上海证券交易所,https://www.sse.com.cn/disclosure/listedinfo/announcement/,S,enterprise_relation_source_results,verified_source,上交所公告原文;定期报告;监管问询;公司行动,quarterly,公开网页和 PDF；批量下载需遵守网站规则,official_source_directly_citable,never_downgrade,failover,2026-06-27,上交所官方披露入口; signal_type=announcement; half_life=720h; family=announcement; collection=reference_metadata
cn_szse_disclosure,cn,深交所上市公司公告,深圳证券交易所,https://www.szse.cn/disclosure/listed/announcement/,S,enterprise_relation_source_results,verified_source,深交所公告原文;定期报告;监管问询;公司行动,quarterly,公开网页和 PDF；批量下载需遵守网站规则,official_source_directly_citable,never_downgrade,active,2026-06-27,深交所官方披露入口; signal_type=announcement; half_life=720h; family=announcement; collection=reference_metadata
cn_bse_disclosure,cn,北交所上市公司公告,北京证券交易所,https://www.bse.cn/disclosure/announcement/,S,enterprise_relation_source_results,verified_source,北交所公告原文;定期报告;监管问询;公司行动,quarterly,公开网页和 PDF；批量下载需遵守网站规则,official_source_directly_citable,never_downgrade,active,2026-06-27,北交所官方披露入口; signal_type=announcement; half_life=720h; family=announcement; collection=reference_metadata
